"type","familyname","length","reads","copynumber","ID"
"scg","chr1:916864-921016",4152,1269.26666666667,1.04456686142079,"NA18858"
"scg","chr1:960583-965719",5136,1676.63333333333,1.11545947022302,"NA18858"
"scg","chr1:1203507-1206571",3064,1051.14666666667,1.17223658219036,"NA18858"
"scg","chr1:1324755-1327994",3239,1032.02666666667,1.08873124094473,"NA18858"
"scg","chr1:1331279-1335314",4035,1376.82666666667,1.1659406491566,"NA18858"
"scg","chr1:1399519-1402019",2500,768.9,1.05092219954847,"NA18858"
"scg","chr1:1434860-1437459",2599,882.206666666666,1.15985785947072,"NA18858"
"scg","chr1:1598011-1600135",2124,723.726666666667,1.16428895230833,"NA18858"
"scg","chr1:2315039-2321323",6284,2088.63333333334,1.13570814991026,"NA18858"
"scg","chr1:2629757-2632979",3222,1064.78666666667,1.12921797334849,"NA18858"
"scg","chr1:3064071-3067769",3698,1040.36,0.961296703566123,"NA18858"
"scg","chr1:3772760-3775908",3148,941.573333333334,1.02202175497544,"NA18858"
"scg","chr1:10449718-10451902",2184,711.64,1.1133928572719,"NA18858"
"scg","chr1:15873501-15876711",3210,809.939999999999,0.862161308952396,"NA18858"
"scg","chr1:26169515-26171821",2306,739.32,1.09550374304189,"NA18858"
"scg","chr1:31789129-31791322",2193,713.513333333334,1.1117424156044,"NA18858"
"scg","chr1:33466248-33468954",2706,739.953333333333,0.93436648566243,"NA18858"
"scg","chr1:43451157-43453452",2295,626.926666666667,0.933414981661727,"NA18858"
"scg","chr1:45010949-45015504",4555,1317.19333333333,0.988102177913687,"NA18858"
"scg","chr1:45620043-45624001",3958,1137.12,0.981682891086149,"NA18858"
"scg","chr1:85580760-85583950",3190,829.073333333333,0.888061366677442,"NA18858"
"scg","chr1:90719575-90725458",5883,1692.36,0.982957221033998,"NA18858"
"scg","chr1:109483478-109492704",9226,2544.59333333333,0.942422505299098,"NA18858"
"scg","chr1:109504177-109509727",5550,1552.10666666667,0.955584936516999,"NA18858"
"scg","chr1:110058339-110062555",4216,1202.9,0.974921474291297,"NA18858"
"scg","chr1:115836376-115841126",4750,1390.64666666667,1.00037747275882,"NA18858"
"scg","chr1:145992434-145996579",4145,1078.17333333333,0.88880147187629,"NA18858"
"scg","chr1:146017467-146021734",4267,1195.53333333333,0.957369881135976,"NA18858"
"scg","chr1:150558253-150560937",2684,817.026666666667,1.04014631294253,"NA18858"
"scg","chr1:151800263-151806154",5891,1697.42,0.984557321600778,"NA18858"
"scg","chr1:151837818-151840557",2739,867.266666666667,1.0819354136873,"NA18858"
"scg","chr1:153775312-153780156",4844,1493.79333333333,1.05372454467909,"NA18858"
"scg","chr1:156243414-156248076",4662,1380.16,1.01157451898196,"NA18858"
"scg","chr1:156292686-156295689",3003,880.86,1.00228739991775,"NA18858"
